Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 21-FEB-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;B;B1;AL00000001;20;Abitazioni civili;NORMALE;P;510;760;L;5;7,5;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;B;B1;AL00000001;13;Box;NORMALE;P;640;960;L;4;5,8;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;B;B1;AL00000001;14;Posti auto coperti;NORMALE;P;530;790;L;2,7;3,8;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;B;B1;AL00000001;15;Posti auto scoperti;NORMALE;P;430;640;L;2,5;3,3;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;B;B1;AL00000001;9;Magazzini;NORMALE;P;810;1150;L;4,6;5,4;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;B;B1;AL00000001;5;Negozi;NORMALE;P;420;840;L;5,6;11,2;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;B;B1;AL00000001;6;Uffici;NORMALE;P;360;720;L;3,4;6,8;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;B;B1;AL00000001;10;Laboratori;NORMALE;P;1350;1600;L;6,7;8,1;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C1;AL00000003;20;Abitazioni civili;NORMALE;P;560;840;L;4,4;6,6;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C1;AL00000003;13;Box;NORMALE;P;590;880;L;3,3;4,5;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C1;AL00000003;14;Posti auto coperti;NORMALE;P;530;680;L;2,6;3,2;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C1;AL00000003;15;Posti auto scoperti;NORMALE;P;380;500;L;2,2;3,1;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C1;AL00000003;1;Ville e Villini;NORMALE;P;700;1050;L;3,3;4,5;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C1;AL00000003;9;Magazzini;NORMALE;P;380;470;L;1,7;2,1;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C1;AL00000003;5;Negozi;NORMALE;P;450;900;L;4,4;8,8;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C1;AL00000003;6;Uffici;NORMALE;P;700;1050;L;3,8;5,7;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C1;AL00000003;8;Capannoni industriali;NORMALE;P;230;305;L;1,2;1,8;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C1;AL00000003;7;Capannoni tipici;NORMALE;P;245;360;L;1,3;2;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C1;AL00000003;10;Laboratori;NORMALE;P;475;570;L;2,1;3,1;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C2;AL00004457;20;Abitazioni civili;NORMALE;P;530;790;L;4,7;7;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C2;AL00004457;13;Box;NORMALE;P;600;900;L;3,8;5,7;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C2;AL00004457;14;Posti auto coperti;NORMALE;P;430;640;L;2,7;3,8;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C2;AL00004457;15;Posti auto scoperti;NORMALE;P;380;570;L;2,5;3,3;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C2;AL00004457;9;Magazzini;NORMALE;P;950;1250;L;4,6;5,4;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C2;AL00004457;5;Negozi;NORMALE;P;550;1100;L;5,6;11,2;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C2;AL00004457;6;Uffici;NORMALE;P;900;1350;L;3,4;5,7;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C3;AL00004458;20;Abitazioni civili;NORMALE;P;540;800;L;4,9;7,3;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C3;AL00004458;13;Box;NORMALE;P;500;750;L;3;4,5;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C3;AL00004458;14;Posti auto coperti;NORMALE;P;480;700;L;2,6;3,2;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C3;AL00004458;15;Posti auto scoperti;NORMALE;P;380;550;L;2,2;3,1;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C3;AL00004458;1;Ville e Villini;NORMALE;P;800;1200;L;3,3;4,5;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C3;AL00004458;9;Magazzini;NORMALE;P;380;470;L;1,7;2,1;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C3;AL00004458;5;Negozi;NORMALE;P;500;1000;L;4,9;9,5;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C3;AL00004458;6;Uffici;NORMALE;P;760;1150;L;3,4;5,1;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;C;C3;AL00004458;7;Capannoni tipici;NORMALE;P;190;285;L;1;1,4;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D2;AL00000006;20;Abitazioni civili;NORMALE;P;580;870;L;2,8;4,2;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D2;AL00000006;13;Box;NORMALE;P;380;570;L;2,4;2,8;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D2;AL00000006;14;Posti auto coperti;NORMALE;P;250;370;L;1,4;1,8;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D2;AL00000006;1;Ville e Villini;NORMALE;P;770;980;L;2,6;3,6;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D2;AL00000006;9;Magazzini;NORMALE;P;360;460;L;1,5;2;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D2;AL00000006;5;Negozi;NORMALE;P;480;960;L;3,6;6,4;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D2;AL00000006;6;Uffici;NORMALE;P;650;860;L;2,7;3,6;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D2;AL00000006;8;Capannoni industriali;NORMALE;P;210;285;L;1,1;1,7;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D2;AL00000006;7;Capannoni tipici;NORMALE;P;245;340;L;1,3;2;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D2;AL00000006;10;Laboratori;NORMALE;P;485;580;L;2,5;3;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D3;AL00003420;20;Abitazioni civili;NORMALE;P;600;900;L;3,1;4,6;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D3;AL00003420;20;Abitazioni civili;OTTIMO; ;900;1300;L;3,6;5,3;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D3;AL00003420;13;Box;NORMALE;P;300;450;L;1,5;2,2;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D3;AL00003420;14;Posti auto coperti;NORMALE;P;200;300;L;1;1,4;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D3;AL00003420;1;Ville e Villini;NORMALE;P;750;1100;L;2,9;4,1;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D3;AL00003420;9;Magazzini;NORMALE;P;340;430;L;1,5;1,9;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D3;AL00003420;5;Negozi;NORMALE;P;480;960;L;3,6;6,4;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D3;AL00003420;6;Uffici;NORMALE;P;670;860;L;2,8;3,7;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D3;AL00003420;8;Capannoni industriali;NORMALE;P;170;240;L;1;1,4;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D3;AL00003420;7;Capannoni tipici;NORMALE;P;190;285;L;1,1;1,7;L;
NORD-OVEST;PIEMONTE;AL;1006003;A2AA; ;A182;ALESSANDRIA;D;D3;AL00003420;10;Laboratori;NORMALE;P;475;570;L;1,9;2,9;L;
